num_islands,base_seed,island_id,population_mode,pop_per_island,best_fitness,generations,status,solved,config_best_fitness,config_solved,wall_clock_seconds
1,1,0,fixed_total,800,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,57.23
1,3,0,fixed_total,800,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,59.15
1,67,0,fixed_total,800,1.0,27,Solution Found,True,1.0,True,13.0
4,1,0,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,114.0
4,1,1,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,114.0
4,1,2,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,114.0
4,1,3,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,114.0
4,3,0,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,115.58
4,3,1,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,115.58
4,3,2,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,115.58
4,3,3,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,115.58
4,67,0,fixed_total,200,0.8518518518518521,90,Stopped - Another Island Solved,False,1.0,True,100.05
4,67,1,fixed_total,200,0.8518518518518521,90,Stopped - Another Island Solved,False,1.0,True,100.05
4,67,2,fixed_total,200,0.8518518518518521,90,Stopped - Another Island Solved,False,1.0,True,100.05
4,67,3,fixed_total,200,1.0,77,Solution Found,True,1.0,True,100.05
