num_islands,base_seed,island_id,population_mode,pop_per_island,best_fitness,generations,status,solved,config_best_fitness,config_solved,wall_clock_seconds
8,9,4,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,152.28
8,9,5,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,152.28
8,9,6,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,152.28
8,9,7,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,152.28
8,12,0,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,1,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,2,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,3,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,4,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,5,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,6,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,12,7,fixed_total,400,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,151.78
8,15,0,fixed_total,400,0.8518518518518521,40,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,1,fixed_total,400,0.8518518518518521,40,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,2,fixed_total,400,0.8518518518518521,40,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,3,fixed_total,400,0.8518518518518521,30,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,4,fixed_total,400,0.5994513031550068,40,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,5,fixed_total,400,0.6049382716049385,30,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,6,fixed_total,400,0.8518518518518521,30,Stopped - Another Island Solved,False,1.0,True,55.38
8,15,7,fixed_total,400,1.0,26,Solution Found,True,1.0,True,55.38
